scenario,shape,count,diameter,noise_level,seed,engine,status,cold_ms,steady_mean_ms,steady_min_ms,steady_max_ms,steady_std_ms,features,speedup_vs_python,speedup_vs_numba
iso_baseline,"(128, 128, 64)",200,"(9, 9, 9)",20,42,python,ok,205.0445649656467,197.9630227899179,191.96446397108957,210.0475580082275,6.715130520550994,249,1.0,0.7321905482973811
iso_baseline,"(128, 128, 64)",200,"(9, 9, 9)",20,42,numba,ok,1106.3124510110356,144.9466541991569,141.64254197385162,151.66358702117577,3.7886153529734856,249,1.3657646938018757,1.0
iso_baseline,"(128, 128, 64)",200,"(9, 9, 9)",20,42,cupy,ok,10109.980907000136,6.944216601550579,6.875319988466799,6.979324040003121,0.03889238363017702,0,28.5076105986836,20.873003034898375
iso_dense,"(128, 128, 64)",500,"(9, 9, 9)",20,43,python,ok,211.1884609912522,192.53638121299446,187.696909008082,199.36197000788525,4.174430900548137,248,1.0,0.7145556291176682
iso_dense,"(128, 128, 64)",500,"(9, 9, 9)",20,43,numba,ok,1144.5853660115972,137.57795500569046,136.8726780056022,139.73023701692,1.083281880566011,248,1.3994711667652775,1.0
iso_dense,"(128, 128, 64)",500,"(9, 9, 9)",20,43,cupy,ok,351.007400022354,7.7426482224836946,7.540749036706984,7.824858999811113,0.1025716797937896,0,24.866993266450176,17.768850017773126
aniso_baseline,"(128, 128, 64)",200,"(7, 9, 9)",20,44,python,ok,226.13558400189504,204.11435079295188,200.76088700443506,213.35403603734449,4.674184941961349,296,1.0,0.6778180674951013
aniso_baseline,"(128, 128, 64)",200,"(7, 9, 9)",20,44,numba,ok,1144.7102350066416,138.35239480249584,137.2724039829336,140.5139990383759,1.2128703181670228,296,1.475322137244781,1.0
aniso_baseline,"(128, 128, 64)",200,"(7, 9, 9)",20,44,cupy,ok,1833.3529669907875,9.950688784010708,9.898610995151103,9.990471007768065,0.030843394340866106,0,20.512585130883963,13.903800812744517
iso_large,"(192, 192, 96)",500,"(9, 9, 9)",20,45,python,ok,698.3646029839292,709.5972665934823,691.5407229680568,729.9620829871856,13.005822189427656,875,1.0,0.7557847901313292
iso_large,"(192, 192, 96)",500,"(9, 9, 9)",20,45,numba,ok,1486.2161669880152,536.3028212101199,523.9781999844126,544.1085520433262,8.013333028008644,875,1.3231279764524433,1.0
iso_large,"(192, 192, 96)",500,"(9, 9, 9)",20,45,cupy,ok,380.31744299223647,49.94962338823825,48.35160297807306,50.907958997413516,0.861686673093931,0,14.206258595346542,10.736874171035378
