scenario,shape,count,diameter,noise_level,seed,engine,status,cold_ms,steady_mean_ms,steady_min_ms,steady_max_ms,steady_std_ms,features,speedup_vs_python,speedup_vs_numba
iso_baseline,"(128, 128, 64)",200,"(9, 9, 9)",20,42,python,ok,205.10962698608637,196.27351639792323,189.82677796157077,203.38314503896981,4.953138302677997,249,1.0,0.724251030857089
iso_baseline,"(128, 128, 64)",200,"(9, 9, 9)",20,42,numba,ok,1088.186920969747,142.15129658114165,140.2706329827197,143.4853309765458,1.2266929447436246,249,1.3807367299382174,1.0
iso_baseline,"(128, 128, 64)",200,"(9, 9, 9)",20,42,cupy,FAIL_EMPTY_DETECTION,427.5938019854948,7.310347782913595,7.25383497774601,7.406050979625434,0.05676544775636281,0,26.848724879638613,19.445216671276636
iso_dense,"(128, 128, 64)",500,"(9, 9, 9)",20,43,python,ok,201.56012498773634,192.89430142380297,187.55786202382296,204.76913603488356,6.335327926985872,248,1.0,0.7153285471622459
iso_dense,"(128, 128, 64)",500,"(9, 9, 9)",20,43,numba,ok,1101.332752034068,137.98280039336532,137.03687995439395,139.57741198828444,0.8954390206078227,248,1.3979590273127838,1.0
iso_dense,"(128, 128, 64)",500,"(9, 9, 9)",20,43,cupy,FAIL_EMPTY_DETECTION,357.667809992563,8.229956380091608,8.163340971805155,8.346021000761539,0.06269226952486323,0,23.43807093442406,16.765921229807226
aniso_baseline,"(128, 128, 64)",200,"(7, 9, 9)",20,44,python,ok,217.64774795155972,222.18069899827242,217.06820599501953,230.57589802192524,4.982917486886707,296,1.0,0.627812418652836
aniso_baseline,"(128, 128, 64)",200,"(7, 9, 9)",20,44,numba,ok,1181.9755379692651,139.48780201608315,137.17488903785124,144.97506304178387,2.9506336537491826,296,1.5928324612402642,1.0
aniso_baseline,"(128, 128, 64)",200,"(7, 9, 9)",20,44,cupy,FAIL_EMPTY_DETECTION,352.6595119619742,8.059831208083779,7.948956044856459,8.322984969709069,0.13613479847181698,0,27.566420842093017,17.306541342476365
iso_large,"(192, 192, 96)",500,"(9, 9, 9)",20,45,python,ok,710.8974800212309,698.4031285974197,690.4678840073757,719.1737800021656,10.673869334751448,875,1.0,0.7452919978133883
iso_large,"(192, 192, 96)",500,"(9, 9, 9)",20,45,numba,ok,1520.1804640237242,520.5142629914917,516.8904950260185,524.1946259629913,2.758629420517903,875,1.3417559868265045,1.0
iso_large,"(192, 192, 96)",500,"(9, 9, 9)",20,45,cupy,FAIL_EMPTY_DETECTION,378.4410379594192,42.204284376930445,41.978400957304984,42.66615799861029,0.23940727109775173,0,16.54815711030462,12.333209072868756
